Language,Instance Count
English,79729
Latin,44331
Italian,37409
Spanish,34210
French,25984
Portuguese,19914
German,16354
Romanian,13745
Swedish,11937
Finnish,11498
Catalan,10555
Dutch,9958
Polish,9939
Middle English,9266
Russian,9132
Esperanto,8326
Translingual,8266
Tagalog,7688
Serbo-Croatian,7199
Indonesian,7161
Macedonian,6950
Galician,6681
Czech,5975
Norwegian Nynorsk,5153
Norwegian Bokmål,5092
Bulgarian,4962
Japanese,4811
Old English,4760
Ido,4507
Danish,4228
Cebuano,4175
Turkish,3778
Hindi,3625
Arabic,3568
Malay,3535
Ingrian,3464
Hungarian,3414
Ukrainian,3285
Icelandic,3105
Greek,2922
Asturian,2916
Irish,2847
Persian,2831
Estonian,2818
Welsh,2697
Ancient Greek,2597
Armenian,2592
Latvian,2586
Bikol Central,2544
Pali,2331
Urdu,2324
Albanian,2311
Old French,2180
Sanskrit,2174
Slovak,2140
Old Armenian,2092
Swahili,1958
Maltese,1745
Afrikaans,1733
Scottish Gaelic,1645
Old Norse,1633
Ottoman Turkish,1573
Luxembourgish,1496
Scots,1479
Old Polish,1399
South Levantine Arabic,1380
Faroese,1367
Chinese,1360
Lithuanian,1329
Slovene,1277
Javanese,1271
Azerbaijani,1257
Old Irish,1152
Basque,1148
Yola,1143
Interlingua,1131
Norman,1115
Hebrew,1065
Occitan,1015
Middle French,1000
Marathi,987
Lower Sorbian,978
Vietnamese,976
Votic,950
Hunsrik,946
Mandarin,935
Korean,921
Silesian,914
Volapük,836
Gothic,823
Yiddish,813
Pannonian Rusyn,781
Classical Syriac,768
Assyrian Neo-Aramaic,766
Crimean Tatar,745
Bengali,741
Old Czech,725
Middle Dutch,708
Northern Sami,691
Venetan,658
Belarusian,655
West Frisian,645
Hijazi Arabic,643
Cornish,639
Old Javanese,630
Kazakh,626
Assamese,609
Maori,584
Kashubian,578
Old High German,574
Yoruba,563
Uzbek,559
Moroccan Arabic,559
Sicilian,558
Hawaiian,546
Hiligaynon,533
Proto-Finnic,532
Manx,505
Saterland Frisian,504
Haitian Creole,500
Thai,499
Zulu,491
Northern Kurdish,488
Cantonese,486
Hausa,481
Sundanese,469
Proto-West Germanic,468
Aromanian,457
Ilocano,451
Ladin,448
Walloon,445
Xhosa,445
Mongolian,443
Plautdietsch,433
Punjabi,432
Ternate,431
Proto-Slavic,426
Sranan Tongo,426
Ladino,425
Old Saxon,403
Egyptian,401
Classical Nahuatl,392
Old Church Slavonic,388
Friulian,387
Pennsylvania German,386
Afar,382
Alemannic German,379
Burmese,378
Aramaic,368
Tajik,364
Tausug,364
Old Galician-Portuguese,363
Romansch,361
Central Franconian,360
Khalaj,355
Old Dutch,350
Iban,348
Tok Pisin,347
Veps,346
Aragonese,345
Middle High German,344
Kapampangan,337
Neapolitan,325
Livonian,318
North Frisian,317
Georgian,315
Breton,310
Old Spanish,308
German Low German,307
Cimbrian,306
Quechua,301
Malayalam,300
Maranao,296
East Central German,294
Karelian,290
Tamil,288
Limburgish,285
Franco-Provençal,283
Piedmontese,283
Balinese,283
Upper Sorbian,279
Sardinian,277
Emilian,276
Khmer,275
Lombard,266
Yakut,265
Komi-Zyrian,262
Malagasy,261
Sumerian,259
Chichewa,257
Zhuang,257
Bavarian,255
Laz,250
Jamaican Creole,249
Dalmatian,249
Louisiana Creole,247
Kankanaey,247
Nepali,240
Tày,238
Old Swedish,237
Ushojo,236
Pashto,234
Fula,232
West Makian,231
Vilamovian,230
Navajo,227
Kyrgyz,226
Turkmen,222
Tatar,221
Mon,219
Gagauz,218
Karao,218
Central Nahuatl,216
Bashkir,209
Low German,208
Fala,203
Adyghe,203
Lingala,198
Proto-Germanic,197
Corsican,195
Uyghur,195
Greenlandic,194
Ye'kwana,194
Tocharian B,193
Tarifit,191
Egyptian Arabic,191
Khiamniungan Naga,190
Waray-Waray,190
Somali,185
Romani,185
Makasar,183
Eastern Mari,183
Kavalan,183
Gulf Arabic,182
Wolof,179
Chuukese,176
Hanunoo,176
Mokilese,175
Old Anatolian Turkish,174
Zazaki,173
Southern Altai,173
Central Kurdish,173
Prakrit,173
Garo,170
Mauritian Creole,169
Swazi,168
Salar,167
Dupaningan Agta,164
Tibetan,164
Papiamentu,161
Atayal,161
Moksha,157
Telugu,157
Proto-Celtic,156
Norwegian,156
Kabuverdianu,156
Kannada,156
Old Tupi,153
Old East Slavic,153
Champenois,153
Old Frisian,152
Chavacano,152
North Levantine Arabic,149
Sakizaya,148
White Hmong,148
Slovincian,147
Macanese,147
Romagnol,147
Latgalian,145
Urak Lawoi',145
Mingrelian,145
Middle Irish,144
Yogad,141
Tashelhit,141
Tuvan,139
Tetum,137
Chechen,136
Ligurian,135
Gamilaraay,135
Livvi,135
Old Georgian,133
Kikuyu,132
Konkani,132
Mizo,131
